Adoms,Adooms;Adoomes;Adomes;Addoomes;Addooms;
Wasas,Wassas;Wassaers;Wassa's;Wassaws;Wassawes
Twifo,Cuffere;Quiffers;Cuferas;Cufferoe;Cuffera;Kuferoe;Quifero;Quiffera;Quafferoe;Kufroo;Cufferoes
Eguafos,Aguaffos;Aguaffoes
Akani,Arcanies;Arcania;Arcany;Arcanie;Arcanyes;
Fetu,Afutu;Fettues;Futu
Abramboes,Ambramboes
Akron,Accrongs;Ancrongs;Accromes;Accroomes;Acroome;Accroms
Denkeryes,Dankeries;Dankerys;Dancras;Dankras
Akyems,Aikims;Achims;Accims;Akims
Agonas,Anguynas;Anguiynas;Anguinnas;Anguinnaas
Quamboes,Quamboers;Aquamboers;Quambooers;Quambures;Quambores;
Quamba,Quamon;Quaman;Quoman;Quomong;Quamba
Occrepon,Ocrepon;Accrippoone;Accripoone