bendefoes,bendyfoos;bendifoes
bendy,benda;bendie
bendies,bendys;bendy's;bendaes;bendyes;bendas;bendees;bendeys;bendeyes;bendis
angle,angel
angles,angels
barrel,barrell;barell;barrill
barrels,barrells;barells;barrills
fathom,fathome
firkins,firkines
hogsheads,hoggsheads
hundredweight,cwt
leagues,leages
taccoes,tacoes;taccos;tackoes
brafo,braffo;braffoe;braffos;braffoes;obrafo
bumboy,bumboye;bomboy;bomba
bumboys,bumboyes;bomboys;bomboyes;
caboceer,cabosheer;cabosheire;cabosher;cabbisheer;cabbosheer;cabbasheir;cabasheer;cabasheere;cabisheer;cabesheere;
caboceers,cabosheers;cabosheirs;cabbasheers;cabbisheers;cabisheeers;cabbusheers;cabbosheers;cabboosheers;cabbazzeers;cabbazzers;cabasheirs;cabasheers;cabashers;cabisheers;cabezzeers;cabesheirs;
canky,cankey;kanky;cankee;cankie;
corrantier,corrantierr
croom,croome
crooms,croomes
dashee,dashey;dashe;
dashees,dasheys;dashes;dashies;dashys;
fetera,ffetera;fettera;ffettera;fatera;
fetish,feitich;ffetish;fetishe;fetishee;fetisch;fetiche;fettish;fatish;
fetishes,feiteches;feitiches;feitichees;fetiches;fetichs;fettishes;
palaver,palavera;palavero;palavora;palavor;palavara;palavra;palavour;pallavora;pallavre;pallaver;pallavar;pallavera;pallavara;pallavour
palavers,palaveras;palavras;pallavoras;pallavora's;pallavers;pallaveraes;pallavours;pallavors;pallaveroes;pallaviros;pallaviros;pallavars;
panyar,panyare;
panyarred,panyard;panyaird;penyard;
Guinee,Guinea